Version:,16.6
Comment:,Date/Time        : August 07, 2020  07:16:41 AM
Comment:,######################################################################
Comment:,Do not edit the following "States:" and "Columns:" lines.
Comment:,They are required for re-import into the spreadsheet.
Comment:,It is permitted to swap columns in this spreadsheet, as long as
Comment:,   1. the columns stay intact so that the State and Column pairs are the same, and
Comment:,   2. the column and state names themselves aren't changed.
Comment:
States:,,ELECTRICAL_CONSTRAINT_SET,PROPAGATION_DELAY_PATH_TYPE,PROPAGATION_DELAY_MIN,PROPAGATION_DELAY_MIN_ACTUAL,PROPAGATION_DELAY_MIN_MARGIN,PROPAGATION_DELAY_MAX,PROPAGATION_DELAY_MAX_ACTUAL,PROPAGATION_DELAY_MAX_MARGIN
Comment:,Groupings:,,,Prop Delay,,,Prop Delay,,
Columns:,Objects,Referenced Electrical CSet,Pin Pairs,Min,Actual,Margin,Max,Actual,Margin
Comment:,Units:,,,mil,,,mil,,
Diff Pair:,DIFFPAIR63,,All Drivers/All Receivers,1400.00 MIL,,101.15 MIL,,,
Net:,IO_B1,,All Drivers/All Receivers,1400.00 MIL,,121.03 MIL,,,
Pin Pair:,U1.B1:U2.19,,,1400.00 MIL,1521.03 MIL,121.03 MIL,,,
Net:,IO_C1,,All Drivers/All Receivers,1400.00 MIL,,101.15 MIL,,,
Pin Pair:,U1.C1:U2.20,,,1400.00 MIL,1501.15 MIL,101.15 MIL,,,
Diff Pair:,DIFFPAIR64,,All Drivers/All Receivers,1400.00 MIL,,118.6 MIL,,,
Net:,IO_A5,,All Drivers/All Receivers,1400.00 MIL,,118.6 MIL,,,
Pin Pair:,U1.A5:U2.7,,,1400.00 MIL,1518.60 MIL,118.6 MIL,,,
Net:,IO_B5,,All Drivers/All Receivers,1400.00 MIL,,123.17 MIL,,,
Pin Pair:,U1.B5:U2.8,,,1400.00 MIL,1523.17 MIL,123.17 MIL,,,
Diff Pair:,DIFFPAIR65,,All Drivers/All Receivers,1400.00 MIL,,105.17 MIL,,,
Net:,IO_A4,,All Drivers/All Receivers,1400.00 MIL,,122.09 MIL,,,
Pin Pair:,U1.A4:U2.9,,,1400.00 MIL,1522.09 MIL,122.09 MIL,,,
Net:,IO_B4,,All Drivers/All Receivers,1400.00 MIL,,105.17 MIL,,,
Pin Pair:,U1.B4:U2.10,,,1400.00 MIL,1505.17 MIL,105.17 MIL,,,
Diff Pair:,DIFFPAIR66,,All Drivers/All Receivers,1400.00 MIL,,100.15 MIL,,,
Net:,IO_A2,,All Drivers/All Receivers,1400.00 MIL,,100.15 MIL,,,
Pin Pair:,U1.A2:U2.11,,,1400.00 MIL,1500.15 MIL,100.15 MIL,,,
Net:,IO_A3,,All Drivers/All Receivers,1400.00 MIL,,100.16 MIL,,,
Pin Pair:,U1.A3:U2.12,,,1400.00 MIL,1500.16 MIL,100.16 MIL,,,
Diff Pair:,DIFFPAIR67,,All Drivers/All Receivers,1400.00 MIL,,106.09 MIL,,,
Net:,IO_B2_VREF,,All Drivers/All Receivers,1400.00 MIL,,106.09 MIL,,,
Pin Pair:,U1.B2:U2.14,,,1400.00 MIL,1506.09 MIL,106.09 MIL,,,
Net:,IO_C2,,All Drivers/All Receivers,1400.00 MIL,,125.98 MIL,,,
Pin Pair:,U1.C2:U2.13,,,1400.00 MIL,1525.98 MIL,125.98 MIL,,,
Diff Pair:,DIFFPAIR68,,All Drivers/All Receivers,1400.00 MIL,,111.17 MIL,,,
Net:,IO_C4,,All Drivers/All Receivers,1400.00 MIL,,111.17 MIL,,,
Pin Pair:,U1.C4:U2.16,,,1400.00 MIL,1511.17 MIL,111.17 MIL,,,
Net:,IO_D4,,All Drivers/All Receivers,1400.00 MIL,,131.06 MIL,,,
Pin Pair:,U1.D4:U2.15,,,1400.00 MIL,1531.06 MIL,131.06 MIL,,,
Diff Pair:,DIFFPAIR69,,All Drivers/All Receivers,1400.00 MIL,,104.06 MIL,,,
Net:,IO_D5,,All Drivers/All Receivers,1400.00 MIL,,123.94 MIL,,,
Pin Pair:,U1.D5:U2.17,,,1400.00 MIL,1523.94 MIL,123.94 MIL,,,
Net:,IO_E5,,All Drivers/All Receivers,1400.00 MIL,,104.06 MIL,,,
Pin Pair:,U1.E5:U2.18,,,1400.00 MIL,1504.06 MIL,104.06 MIL,,,
Diff Pair:,DIFFPAIR70,,All Drivers/All Receivers,1350.00 MIL,,40.74 MIL,,,
Net:,BANK15_D26,,All Drivers/All Receivers,1350.00 MIL,,40.74 MIL,,,
Pin Pair:,U1.D26:U4.7,,,1350.00 MIL,1390.74 MIL,40.74 MIL,,,
Net:,BANK15_E26,,All Drivers/All Receivers,1350.00 MIL,,41.59 MIL,,,
Pin Pair:,U1.E26:U4.8,,,1350.00 MIL,1391.59 MIL,41.59 MIL,,,
Diff Pair:,DIFFPAIR71,,All Drivers/All Receivers,1350.00 MIL,,0.32 MIL,,,
Net:,BANK15_D25,,All Drivers/All Receivers,1350.00 MIL,,0.32 MIL,,,
Pin Pair:,U1.D25:U4.9,,,1350.00 MIL,1350.32 MIL,0.32 MIL,,,
Net:,BANK15_E25,,All Drivers/All Receivers,1350.00 MIL,,20.21 MIL,,,
Pin Pair:,U1.E25:U4.10,,,1350.00 MIL,1370.21 MIL,20.21 MIL,,,
Diff Pair:,DIFFPAIR72,,All Drivers/All Receivers,1350.00 MIL,,3.88 MIL,,,
Net:,BANK15_G26,,All Drivers/All Receivers,1350.00 MIL,,3.88 MIL,,,
Pin Pair:,U1.G26:U4.11,,,1350.00 MIL,1353.88 MIL,3.88 MIL,,,
Net:,BANK15_H26,,All Drivers/All Receivers,1350.00 MIL,,12.96 MIL,,,
Pin Pair:,U1.H26:U4.12,,,1350.00 MIL,1362.96 MIL,12.96 MIL,,,
Diff Pair:,DIFFPAIR73,,All Drivers/All Receivers,1350.00 MIL,,0.82 MIL,,,
Net:,BANK15_E23,,All Drivers/All Receivers,1350.00 MIL,,0.82 MIL,,,
Pin Pair:,U1.E23:U4.13,,,1350.00 MIL,1350.82 MIL,0.82 MIL,,,
Net:,BANK15_F23,,All Drivers/All Receivers,1350.00 MIL,,20.71 MIL,,,
Pin Pair:,U1.F23:U4.14,,,1350.00 MIL,1370.71 MIL,20.71 MIL,,,
Diff Pair:,DIFFPAIR74,,All Drivers/All Receivers,1350.00 MIL,,2.94 MIL,,,
Net:,BANK15_F22,,All Drivers/All Receivers,1350.00 MIL,,4.62 MIL,,,
Pin Pair:,U1.F22:U4.15,,,1350.00 MIL,1354.62 MIL,4.62 MIL,,,
Net:,BANK15_G22,,All Drivers/All Receivers,1350.00 MIL,,2.94 MIL,,,
Pin Pair:,U1.G22:U4.16,,,1350.00 MIL,1352.94 MIL,2.94 MIL,,,
Diff Pair:,DIFFPAIR75,,All Drivers/All Receivers,1350.00 MIL,,3.81 MIL,,,
Net:,BANK15_J25,,All Drivers/All Receivers,1350.00 MIL,,30.75 MIL,,,
Pin Pair:,U1.J25:U4.18,,,1350.00 MIL,1380.75 MIL,30.75 MIL,,,
Net:,BANK15_J26,,All Drivers/All Receivers,1350.00 MIL,,3.81 MIL,,,
Pin Pair:,U1.J26:U4.17,,,1350.00 MIL,1353.81 MIL,3.81 MIL,,,
Diff Pair:,DIFFPAIR76,,All Drivers/All Receivers,1350.00 MIL,,6.04 MIL,,,
Net:,BANK15_G20,,All Drivers/All Receivers,1350.00 MIL,,15.15 MIL,,,
Pin Pair:,U1.G20:U4.20,,,1350.00 MIL,1365.15 MIL,15.15 MIL,,,
Net:,BANK15_G21,,All Drivers/All Receivers,1350.00 MIL,,6.04 MIL,,,
Pin Pair:,U1.G21:U4.19,,,1350.00 MIL,1356.04 MIL,6.04 MIL,,,
Diff Pair:,DIFFPAIR77,,All Drivers/All Receivers,1350.00 MIL,,3.1 MIL,,,
Net:,BANK15_H21,,All Drivers/All Receivers,1350.00 MIL,,3.1 MIL,,,
Pin Pair:,U1.H21:U4.22,,,1350.00 MIL,1353.10 MIL,3.1 MIL,,,
Net:,BANK15_H22,,All Drivers/All Receivers,1350.00 MIL,,3.97 MIL,,,
Pin Pair:,U1.H22:U4.21,,,1350.00 MIL,1353.97 MIL,3.97 MIL,,,
Diff Pair:,DIFFPAIR78,,All Drivers/All Receivers,1350.00 MIL,,1.92 MIL,,,
Net:,BANK15_J21,,All Drivers/All Receivers,1350.00 MIL,,1.92 MIL,,,
Pin Pair:,U1.J21:U4.23,,,1350.00 MIL,1351.92 MIL,1.92 MIL,,,
Net:,BANK15_K21,,All Drivers/All Receivers,1350.00 MIL,,21.81 MIL,,,
Pin Pair:,U1.K21:U4.24,,,1350.00 MIL,1371.81 MIL,21.81 MIL,,,
Diff Pair:,DIFFPAIR79,,All Drivers/All Receivers,1350.00 MIL,,3.16 MIL,,,
Net:,BANK14_K25,,All Drivers/All Receivers,1350.00 MIL,,24.76 MIL,,,
Pin Pair:,U1.K25:U4.26,,,1350.00 MIL,1374.76 MIL,24.76 MIL,,,
Net:,BANK14_K26,,All Drivers/All Receivers,1350.00 MIL,,3.16 MIL,,,
Pin Pair:,U1.K26:U4.25,,,1350.00 MIL,1353.16 MIL,3.16 MIL,,,
Diff Pair:,DIFFPAIR80,,All Drivers/All Receivers,1350.00 MIL,,3.32 MIL,,,
Net:,BANK15_K22,,All Drivers/All Receivers,1350.00 MIL,,8.43 MIL,,,
Pin Pair:,U1.K22:U4.28,,,1350.00 MIL,1358.43 MIL,8.43 MIL,,,
Net:,BANK15_K23,,All Drivers/All Receivers,1350.00 MIL,,3.32 MIL,,,
Pin Pair:,U1.K23:U4.27,,,1350.00 MIL,1353.32 MIL,3.32 MIL,,,
Diff Pair:,DIFFPAIR81,,All Drivers/All Receivers,1350.00 MIL,,2.32 MIL,,,
Net:,BANK14_M26,,All Drivers/All Receivers,1350.00 MIL,,2.32 MIL,,,
Pin Pair:,U1.M26:U4.29,,,1350.00 MIL,1352.32 MIL,2.32 MIL,,,
Net:,BANK14_N26,,All Drivers/All Receivers,1350.00 MIL,,22.2 MIL,,,
Pin Pair:,U1.N26:U4.30,,,1350.00 MIL,1372.20 MIL,22.2 MIL,,,
Diff Pair:,DIFFPAIR82,,All Drivers/All Receivers,1350.00 MIL,,5.47 MIL,,,
Net:,BANK14_L22,,All Drivers/All Receivers,1350.00 MIL,,5.79 MIL,,,
Pin Pair:,U1.L22:U4.32,,,1350.00 MIL,1355.79 MIL,5.79 MIL,,,
Net:,BANK14_L23,,All Drivers/All Receivers,1350.00 MIL,,5.47 MIL,,,
Pin Pair:,U1.L23:U4.31,,,1350.00 MIL,1355.47 MIL,5.47 MIL,,,
Diff Pair:,DIFFPAIR83,,All Drivers/All Receivers,1350.00 MIL,,14.54 MIL,,,
Net:,BANK14_P26,,All Drivers/All Receivers,1350.00 MIL,,14.54 MIL,,,
Pin Pair:,U1.P26:U4.33,,,1350.00 MIL,1364.54 MIL,14.54 MIL,,,
Net:,BANK14_R26,,All Drivers/All Receivers,1350.00 MIL,,34.42 MIL,,,
Pin Pair:,U1.R26:U4.34,,,1350.00 MIL,1384.42 MIL,34.42 MIL,,,
Diff Pair:,DIFFPAIR84,,All Drivers/All Receivers,1350.00 MIL,,10.61 MIL,,,
Net:,BANK14_M24,,All Drivers/All Receivers,1350.00 MIL,,12.57 MIL,,,
Pin Pair:,U1.M24:U4.36,,,1350.00 MIL,1362.57 MIL,12.57 MIL,,,
Net:,BANK14_M25,,All Drivers/All Receivers,1350.00 MIL,,10.61 MIL,,,
Pin Pair:,U1.M25:U4.35,,,1350.00 MIL,1360.61 MIL,10.61 MIL,,,
Diff Pair:,DIFFPAIR85,,All Drivers/All Receivers,1350.00 MIL,,2.3 MIL,,,
Net:,BANK14_N21,,All Drivers/All Receivers,1350.00 MIL,,2.47 MIL,,,
Pin Pair:,U1.N21:U4.38,,,1350.00 MIL,1352.47 MIL,2.47 MIL,,,
Net:,BANK14_N22,,All Drivers/All Receivers,1350.00 MIL,,2.3 MIL,,,
Pin Pair:,U1.N22:U4.37,,,1350.00 MIL,1352.30 MIL,2.3 MIL,,,
Diff Pair:,DIFFPAIR86,,All Drivers/All Receivers,1350.00 MIL,,1.59 MIL,,,
Net:,BANK14_P23,,All Drivers/All Receivers,1350.00 MIL,,1.76 MIL,,,
Pin Pair:,U1.P23:U4.40,,,1350.00 MIL,1351.76 MIL,1.76 MIL,,,
Net:,BANK14_P24,,All Drivers/All Receivers,1350.00 MIL,,1.59 MIL,,,
Pin Pair:,U1.P24:U4.39,,,1350.00 MIL,1351.59 MIL,1.59 MIL,,,
Diff Pair:,DIFFPAIR87,,All Drivers/All Receivers,1350.00 MIL,,3.97 MIL,,,
Net:,BANK14_P25,,All Drivers/All Receivers,1350.00 MIL,,8.12 MIL,,,
Pin Pair:,U1.P25:U4.41,,,1350.00 MIL,1358.12 MIL,8.12 MIL,,,
Net:,BANK14_R25,,All Drivers/All Receivers,1350.00 MIL,,3.97 MIL,,,
Pin Pair:,U1.R25:U4.42,,,1350.00 MIL,1353.97 MIL,3.97 MIL,,,
Diff Pair:,DIFFPAIR88,,All Drivers/All Receivers,1350.00 MIL,,0.14 MIL,,,
Net:,BANK14_T24,,All Drivers/All Receivers,1350.00 MIL,,0.14 MIL,,,
Pin Pair:,U1.T24:U4.44,,,1350.00 MIL,1350.14 MIL,0.14 MIL,,,
Net:,BANK14_T25,,All Drivers/All Receivers,1350.00 MIL,,0.43 MIL,,,
Pin Pair:,U1.T25:U4.43,,,1350.00 MIL,1350.43 MIL,0.43 MIL,,,
Diff Pair:,DIFFPAIR89,,All Drivers/All Receivers,1350.00 MIL,,6.07 MIL,,,
Net:,BANK13_AB26,,All Drivers/All Receivers,1350.00 MIL,,25.95 MIL,,,
Pin Pair:,U1.AB26:U4.60,,,1350.00 MIL,1375.95 MIL,25.95 MIL,,,
Net:,BANK13_AC26,,All Drivers/All Receivers,1350.00 MIL,,6.07 MIL,,,
Pin Pair:,U1.AC26:U4.59,,,1350.00 MIL,1356.07 MIL,6.07 MIL,,,
Diff Pair:,DIFFPAIR90,,All Drivers/All Receivers,1350.00 MIL,,23.46 MIL,,,
Net:,BANK13_W25,,All Drivers/All Receivers,1350.00 MIL,,44.05 MIL,,,
Pin Pair:,U1.W25:U4.58,,,1350.00 MIL,1394.05 MIL,44.05 MIL,,,
Net:,BANK13_Y26,,All Drivers/All Receivers,1350.00 MIL,,23.46 MIL,,,
Pin Pair:,U1.Y26:U4.57,,,1350.00 MIL,1373.46 MIL,23.46 MIL,,,
